Epoch:0 | Cross Entropy Error: 1.51974075363952 | Accuacy: 37.5%
Epoch:1 | Cross Entropy Error: 1.3404801607426067 | Accuacy: 37.5%
Epoch:2 | Cross Entropy Error: 1.1917731326485386 | Accuacy: 37.5%
Epoch:3 | Cross Entropy Error: 1.0947209934282673 | Accuacy: 43.333333333333336%
Epoch:4 | Cross Entropy Error: 1.0350179799415893 | Accuacy: 64.16666666666667%
Epoch:5 | Cross Entropy Error: 0.9995475284859046 | Accuacy: 68.33333333333333%
Epoch:6 | Cross Entropy Error: 0.9731463118987169 | Accuacy: 68.33333333333333%
Epoch:7 | Cross Entropy Error: 0.9455396449870411 | Accuacy: 68.33333333333333%
Epoch:8 | Cross Entropy Error: 0.9262951645410736 | Accuacy: 68.33333333333333%
Epoch:9 | Cross Entropy Error: 0.9114276423794248 | Accuacy: 76.66666666666667%
Epoch:10 | Cross Entropy Error: 0.8972194148055023 | Accuacy: 78.33333333333333%
Epoch:11 | Cross Entropy Error: 0.8844929118306649 | Accuacy: 80.0%
Epoch:12 | Cross Entropy Error: 0.8716458617725223 | Accuacy: 83.33333333333334%
Epoch:13 | Cross Entropy Error: 0.8585284679337668 | Accuacy: 80.0%
Epoch:14 | Cross Entropy Error: 0.845186770882723 | Accuacy: 78.33333333333333%
Epoch:15 | Cross Entropy Error: 0.8317803260706823 | Accuacy: 77.5%
Epoch:16 | Cross Entropy Error: 0.8183841148371105 | Accuacy: 75.0%
Epoch:17 | Cross Entropy Error: 0.8050571885891684 | Accuacy: 72.5%
Epoch:18 | Cross Entropy Error: 0.7918076061488412 | Accuacy: 72.5%
Epoch:19 | Cross Entropy Error: 0.7786968311264495 | Accuacy: 71.66666666666667%
Epoch:20 | Cross Entropy Error: 0.7657917601722141 | Accuacy: 71.66666666666667%
Epoch:21 | Cross Entropy Error: 0.7530134686085713 | Accuacy: 71.66666666666667%
Epoch:22 | Cross Entropy Error: 0.7404558655254392 | Accuacy: 71.66666666666667%
Epoch:23 | Cross Entropy Error: 0.7281385404752148 | Accuacy: 71.66666666666667%
Epoch:24 | Cross Entropy Error: 0.7161132209191727 | Accuacy: 72.5%
Epoch:25 | Cross Entropy Error: 0.7043762555702117 | Accuacy: 73.33333333333333%
Epoch:26 | Cross Entropy Error: 0.6929209911546818 | Accuacy: 74.16666666666667%
Epoch:27 | Cross Entropy Error: 0.6817517761848447 | Accuacy: 75.0%
Epoch:28 | Cross Entropy Error: 0.6708678750412973 | Accuacy: 77.5%
Epoch:29 | Cross Entropy Error: 0.6602733341742425 | Accuacy: 78.33333333333333%
Epoch:30 | Cross Entropy Error: 0.6499743944879759 | Accuacy: 80.0%
Epoch:31 | Cross Entropy Error: 0.6399773661400692 | Accuacy: 80.0%
Epoch:32 | Cross Entropy Error: 0.6302896563869343 | Accuacy: 80.83333333333333%
Epoch:33 | Cross Entropy Error: 0.6208806265666966 | Accuacy: 81.66666666666667%
Epoch:34 | Cross Entropy Error: 0.6117998381560076 | Accuacy: 81.66666666666667%
Epoch:35 | Cross Entropy Error: 0.6030639889721865 | Accuacy: 82.5%
Epoch:36 | Cross Entropy Error: 0.5946234184286392 | Accuacy: 82.5%
Epoch:37 | Cross Entropy Error: 0.5864457808212847 | Accuacy: 82.5%
Epoch:38 | Cross Entropy Error: 0.5785943391000691 | Accuacy: 82.5%
Epoch:39 | Cross Entropy Error: 0.5710188789610503 | Accuacy: 83.33333333333334%
Epoch:40 | Cross Entropy Error: 0.5636900887840226 | Accuacy: 84.16666666666667%
Epoch:41 | Cross Entropy Error: 0.5566591636193275 | Accuacy: 85.0%
Epoch:42 | Cross Entropy Error: 0.5498776569011442 | Accuacy: 85.0%
Epoch:43 | Cross Entropy Error: 0.5433379972923496 | Accuacy: 85.0%
Epoch:44 | Cross Entropy Error: 0.5370316225138564 | Accuacy: 85.83333333333333%
Epoch:45 | Cross Entropy Error: 0.5309501715571064 | Accuacy: 85.83333333333333%
Epoch:46 | Cross Entropy Error: 0.5251056518452089 | Accuacy: 85.83333333333333%
Epoch:47 | Cross Entropy Error: 0.5194575748472275 | Accuacy: 86.66666666666667%
Epoch:48 | Cross Entropy Error: 0.5139989421879922 | Accuacy: 86.66666666666667%
Epoch:49 | Cross Entropy Error: 0.5087213423576985 | Accuacy: 86.66666666666667%
Epoch:50 | Cross Entropy Error: 0.5036183570718541 | Accuacy: 90.0%
Epoch:51 | Cross Entropy Error: 0.49868535007399756 | Accuacy: 90.0%
Epoch:52 | Cross Entropy Error: 0.4939140599476993 | Accuacy: 90.0%
Epoch:53 | Cross Entropy Error: 0.4892928306853053 | Accuacy: 90.0%
Epoch:54 | Cross Entropy Error: 0.48481650727940484 | Accuacy: 91.66666666666666%
Epoch:55 | Cross Entropy Error: 0.4804756787565819 | Accuacy: 91.66666666666666%
Epoch:56 | Cross Entropy Error: 0.47626184958549517 | Accuacy: 91.66666666666666%
Epoch:57 | Cross Entropy Error: 0.4721658962025293 | Accuacy: 91.66666666666666%
Epoch:58 | Cross Entropy Error: 0.46818416136042923 | Accuacy: 92.5%
Epoch:59 | Cross Entropy Error: 0.46431027262407326 | Accuacy: 92.5%
Epoch:60 | Cross Entropy Error: 0.4605443645017452 | Accuacy: 92.5%
Epoch:61 | Cross Entropy Error: 0.45689103627706734 | Accuacy: 92.5%
Epoch:62 | Cross Entropy Error: 0.4533213438765762 | Accuacy: 92.5%
Epoch:63 | Cross Entropy Error: 0.44983343523890074 | Accuacy: 92.5%
Epoch:64 | Cross Entropy Error: 0.44642553342918384 | Accuacy: 92.5%
Epoch:65 | Cross Entropy Error: 0.44309494655868603 | Accuacy: 92.5%
Epoch:66 | Cross Entropy Error: 0.4398385751772692 | Accuacy: 93.33333333333333%
Epoch:67 | Cross Entropy Error: 0.4366529452919135 | Accuacy: 93.33333333333333%
Epoch:68 | Cross Entropy Error: 0.4335343319807756 | Accuacy: 93.33333333333333%
Epoch:69 | Cross Entropy Error: 0.4304773667061385 | Accuacy: 94.16666666666667%
Epoch:70 | Cross Entropy Error: 0.42748073249839347 | Accuacy: 94.16666666666667%
Epoch:71 | Cross Entropy Error: 0.4245649234755009 | Accuacy: 94.16666666666667%
Epoch:72 | Cross Entropy Error: 0.4217013811510192 | Accuacy: 94.16666666666667%
Epoch:73 | Cross Entropy Error: 0.4189103131440452 | Accuacy: 94.16666666666667%
Epoch:74 | Cross Entropy Error: 0.4161621080421598 | Accuacy: 94.16666666666667%
Epoch:75 | Cross Entropy Error: 0.4134577237809752 | Accuacy: 94.16666666666667%
Epoch:76 | Cross Entropy Error: 0.4107974850415707 | Accuacy: 94.16666666666667%
Epoch:77 | Cross Entropy Error: 0.4081810632201795 | Accuacy: 94.16666666666667%
Epoch:78 | Cross Entropy Error: 0.405607402452626 | Accuacy: 94.16666666666667%
Epoch:79 | Cross Entropy Error: 0.4030747782722764 | Accuacy: 94.16666666666667%
Epoch:80 | Cross Entropy Error: 0.4005810194800904 | Accuacy: 94.16666666666667%
Epoch:81 | Cross Entropy Error: 0.39812379443980905 | Accuacy: 94.16666666666667%
Epoch:82 | Cross Entropy Error: 0.3957008520865274 | Accuacy: 94.16666666666667%
Epoch:83 | Cross Entropy Error: 0.39331086353328415 | Accuacy: 94.16666666666667%
Epoch:84 | Cross Entropy Error: 0.3909662841692706 | Accuacy: 94.16666666666667%
Epoch:85 | Cross Entropy Error: 0.3886458150922859 | Accuacy: 94.16666666666667%
Epoch:86 | Cross Entropy Error: 0.38635021153125304 | Accuacy: 94.16666666666667%
Epoch:87 | Cross Entropy Error: 0.38408571378118533 | Accuacy: 95.0%
Epoch:88 | Cross Entropy Error: 0.3818530545237844 | Accuacy: 95.0%
Epoch:89 | Cross Entropy Error: 0.37964672087783713 | Accuacy: 95.0%
Epoch:90 | Cross Entropy Error: 0.3774660178956799 | Accuacy: 95.0%
Epoch:91 | Cross Entropy Error: 0.37531214194435264 | Accuacy: 94.16666666666667%
Epoch:92 | Cross Entropy Error: 0.37319237139729583 | Accuacy: 94.16666666666667%
Epoch:93 | Cross Entropy Error: 0.3710934510486521 | Accuacy: 94.16666666666667%
Epoch:94 | Cross Entropy Error: 0.3690012206850126 | Accuacy: 94.16666666666667%
Epoch:95 | Cross Entropy Error: 0.36694569132493265 | Accuacy: 94.16666666666667%
Epoch:96 | Cross Entropy Error: 0.36490694161271336 | Accuacy: 94.16666666666667%
Epoch:97 | Cross Entropy Error: 0.36288546359124085 | Accuacy: 94.16666666666667%
Epoch:98 | Cross Entropy Error: 0.36088166623148843 | Accuacy: 95.0%
Epoch:99 | Cross Entropy Error: 0.35889572191097857 | Accuacy: 95.0%
Epoch:100 | Cross Entropy Error: 0.35692751275187884 | Accuacy: 95.0%
Epoch:101 | Cross Entropy Error: 0.3549766635234366 | Accuacy: 95.0%
Epoch:102 | Cross Entropy Error: 0.35304262955342564 | Accuacy: 95.0%
Epoch:103 | Cross Entropy Error: 0.35112479781259415 | Accuacy: 95.0%
Epoch:104 | Cross Entropy Error: 0.3492225684416601 | Accuacy: 95.0%
Epoch:105 | Cross Entropy Error: 0.34733540264969254 | Accuacy: 95.0%
Epoch:106 | Cross Entropy Error: 0.34546283886339213 | Accuacy: 95.0%
Epoch:107 | Cross Entropy Error: 0.3436040578528843 | Accuacy: 95.0%
Epoch:108 | Cross Entropy Error: 0.3417549867521156 | Accuacy: 95.83333333333334%
Epoch:109 | Cross Entropy Error: 0.339918396493805 | Accuacy: 95.83333333333334%
Epoch:110 | Cross Entropy Error: 0.3380943339281994 | Accuacy: 95.83333333333334%
Epoch:111 | Cross Entropy Error: 0.33628276871510765 | Accuacy: 95.83333333333334%
Epoch:112 | Cross Entropy Error: 0.33448361126907983 | Accuacy: 95.83333333333334%
Epoch:113 | Cross Entropy Error: 0.3326967300627632 | Accuacy: 95.83333333333334%
Epoch:114 | Cross Entropy Error: 0.330931066294083 | Accuacy: 95.83333333333334%
Epoch:115 | Cross Entropy Error: 0.329177634665005 | Accuacy: 95.83333333333334%
Epoch:116 | Cross Entropy Error: 0.3274344225540031 | Accuacy: 95.83333333333334%
Epoch:117 | Cross Entropy Error: 0.32570355260811384 | Accuacy: 95.83333333333334%
Epoch:118 | Cross Entropy Error: 0.32398455286451516 | Accuacy: 95.83333333333334%
Epoch:119 | Cross Entropy Error: 0.3222768294110614 | Accuacy: 95.83333333333334%
Epoch:120 | Cross Entropy Error: 0.32058041330070836 | Accuacy: 95.83333333333334%
Epoch:121 | Cross Entropy Error: 0.318895105803941 | Accuacy: 95.83333333333334%
Epoch:122 | Cross Entropy Error: 0.3172207649985301 | Accuacy: 95.83333333333334%
Epoch:123 | Cross Entropy Error: 0.3155573858649221 | Accuacy: 95.83333333333334%
Epoch:124 | Cross Entropy Error: 0.3139048087484563 | Accuacy: 95.83333333333334%
Epoch:125 | Cross Entropy Error: 0.3122629499124352 | Accuacy: 95.83333333333334%
Epoch:126 | Cross Entropy Error: 0.3106317178868613 | Accuacy: 95.83333333333334%
Epoch:127 | Cross Entropy Error: 0.3090110213944223 | Accuacy: 95.83333333333334%
Epoch:128 | Cross Entropy Error: 0.30740077460407034 | Accuacy: 95.83333333333334%
Epoch:129 | Cross Entropy Error: 0.30580103357948685 | Accuacy: 95.83333333333334%
Epoch:130 | Cross Entropy Error: 0.30421113238467434 | Accuacy: 95.83333333333334%
Epoch:131 | Cross Entropy Error: 0.30263178323462403 | Accuacy: 95.83333333333334%
Epoch:132 | Cross Entropy Error: 0.3010626398633248 | Accuacy: 95.83333333333334%
Epoch:133 | Cross Entropy Error: 0.2995037567273645 | Accuacy: 95.83333333333334%
Epoch:134 | Cross Entropy Error: 0.2979547901411731 | Accuacy: 95.83333333333334%
Epoch:135 | Cross Entropy Error: 0.2964158455038783 | Accuacy: 95.83333333333334%
Epoch:136 | Cross Entropy Error: 0.29488686364150746 | Accuacy: 95.83333333333334%
Epoch:137 | Cross Entropy Error: 0.29336779904423854 | Accuacy: 96.66666666666667%
Epoch:138 | Cross Entropy Error: 0.29185861425236664 | Accuacy: 96.66666666666667%
Epoch:139 | Cross Entropy Error: 0.2903592750445294 | Accuacy: 96.66666666666667%
Epoch:140 | Cross Entropy Error: 0.2888699080509107 | Accuacy: 96.66666666666667%
Epoch:141 | Cross Entropy Error: 0.2873904029738997 | Accuacy: 96.66666666666667%
Epoch:142 | Cross Entropy Error: 0.2859204880482369 | Accuacy: 96.66666666666667%
Epoch:143 | Cross Entropy Error: 0.28446451459927263 | Accuacy: 96.66666666666667%
Epoch:144 | Cross Entropy Error: 0.28302681719643963 | Accuacy: 96.66666666666667%
Epoch:145 | Cross Entropy Error: 0.2815928473798029 | Accuacy: 96.66666666666667%
Epoch:146 | Cross Entropy Error: 0.28016460178641356 | Accuacy: 96.66666666666667%
