Epoch:0 | Cross Entropy Error: 2.369764317825366 | Accuacy: 15.185%
Epoch:1 | Cross Entropy Error: 2.232170292898873 | Accuacy: 20.851666666666667%
Epoch:2 | Cross Entropy Error: 2.0977997821804464 | Accuacy: 34.36333333333334%
Epoch:3 | Cross Entropy Error: 1.9559030943870437 | Accuacy: 49.585%
Epoch:4 | Cross Entropy Error: 1.787407160132451 | Accuacy: 58.333333333333336%
Epoch:5 | Cross Entropy Error: 1.6001347930421046 | Accuacy: 64.15833333333333%
Epoch:6 | Cross Entropy Error: 1.4080465179259316 | Accuacy: 68.44833333333334%
Epoch:7 | Cross Entropy Error: 1.220011102763027 | Accuacy: 72.92833333333333%
Epoch:8 | Cross Entropy Error: 1.0539594384228856 | Accuacy: 75.52166666666666%
Epoch:9 | Cross Entropy Error: 0.9152181117233842 | Accuacy: 78.09833333333333%
Epoch:10 | Cross Entropy Error: 0.8014003246589466 | Accuacy: 80.22%
Epoch:11 | Cross Entropy Error: 0.7116037308251452 | Accuacy: 81.66666666666667%
Epoch:12 | Cross Entropy Error: 0.640200460339049 | Accuacy: 83.00999999999999%
Epoch:13 | Cross Entropy Error: 0.5845575256783677 | Accuacy: 83.94666666666667%
Epoch:14 | Cross Entropy Error: 0.543326979035598 | Accuacy: 85.275%
Epoch:15 | Cross Entropy Error: 0.5193829500536046 | Accuacy: 84.79333333333334%
Epoch:16 | Cross Entropy Error: 0.5329032906407775 | Accuacy: 83.59166666666667%
Epoch:17 | Cross Entropy Error: 0.6766474783565284 | Accuacy: 76.07000000000001%
Epoch:18 | Cross Entropy Error: 0.8709908271295834 | Accuacy: 73.11833333333333%
Epoch:19 | Cross Entropy Error: 0.760090897006155 | Accuacy: 75.10166666666666%
Epoch:20 | Cross Entropy Error: 0.4684396509531332 | Accuacy: 85.85333333333334%
Epoch:21 | Cross Entropy Error: 0.5758098814180623 | Accuacy: 80.35166666666666%
Epoch:22 | Cross Entropy Error: 0.44229170867329004 | Accuacy: 86.93333333333332%
Epoch:23 | Cross Entropy Error: 0.45119624537252895 | Accuacy: 86.13499999999999%
Epoch:24 | Cross Entropy Error: 0.39588114122863405 | Accuacy: 89.22333333333333%
Epoch:25 | Cross Entropy Error: 0.40571506768574495 | Accuacy: 88.63833333333334%
Epoch:26 | Cross Entropy Error: 0.37314526226095446 | Accuacy: 89.82666666666667%
Epoch:27 | Cross Entropy Error: 0.3702592894166838 | Accuacy: 89.58666666666667%
Epoch:28 | Cross Entropy Error: 0.3553622363539198 | Accuacy: 90.12%
Epoch:29 | Cross Entropy Error: 0.3477062374541598 | Accuacy: 90.30833333333334%
Epoch:30 | Cross Entropy Error: 0.3399476967533156 | Accuacy: 90.485%
Epoch:31 | Cross Entropy Error: 0.3328298895667713 | Accuacy: 90.68333333333334%
Epoch:32 | Cross Entropy Error: 0.32735140011628555 | Accuacy: 90.82666666666667%
Epoch:33 | Cross Entropy Error: 0.3214209504787866 | Accuacy: 90.94833333333334%
Epoch:34 | Cross Entropy Error: 0.31692495329986703 | Accuacy: 91.02666666666667%
Epoch:35 | Cross Entropy Error: 0.31214244795742613 | Accuacy: 91.13666666666667%
Epoch:36 | Cross Entropy Error: 0.3081371027729502 | Accuacy: 91.24666666666667%
Epoch:37 | Cross Entropy Error: 0.30407326974723325 | Accuacy: 91.36666666666666%
Epoch:38 | Cross Entropy Error: 0.3004869015068383 | Accuacy: 91.49666666666667%
Epoch:39 | Cross Entropy Error: 0.2969463867403044 | Accuacy: 91.55666666666666%
Epoch:40 | Cross Entropy Error: 0.2936873902924196 | Accuacy: 91.655%
Epoch:41 | Cross Entropy Error: 0.2905260374627236 | Accuacy: 91.735%
Epoch:42 | Cross Entropy Error: 0.2875363400031098 | Accuacy: 91.79%
Epoch:43 | Cross Entropy Error: 0.28465801245785294 | Accuacy: 91.865%
Epoch:44 | Cross Entropy Error: 0.28190229837171465 | Accuacy: 91.94666666666666%
Epoch:45 | Cross Entropy Error: 0.2792451325894615 | Accuacy: 91.99833333333333%
Epoch:46 | Cross Entropy Error: 0.27668726463764837 | Accuacy: 92.08333333333333%
Epoch:47 | Cross Entropy Error: 0.27421346171981703 | Accuacy: 92.15666666666667%
Epoch:48 | Cross Entropy Error: 0.27182147082428243 | Accuacy: 92.225%
Epoch:49 | Cross Entropy Error: 0.2695008778777554 | Accuacy: 92.285%
Epoch:50 | Cross Entropy Error: 0.2672500232376394 | Accuacy: 92.35833333333333%
Epoch:51 | Cross Entropy Error: 0.2650611585598913 | Accuacy: 92.42166666666667%
Epoch:52 | Cross Entropy Error: 0.26293359000371147 | Accuacy: 92.47333333333333%
Epoch:53 | Cross Entropy Error: 0.2608633077231308 | Accuacy: 92.54166666666667%
Epoch:54 | Cross Entropy Error: 0.2588461730664942 | Accuacy: 92.61333333333333%
Epoch:55 | Cross Entropy Error: 0.25687978367204933 | Accuacy: 92.68166666666666%
Epoch:56 | Cross Entropy Error: 0.25496227689284395 | Accuacy: 92.73166666666667%
Epoch:57 | Cross Entropy Error: 0.2530887274262814 | Accuacy: 92.77166666666666%
Epoch:58 | Cross Entropy Error: 0.2512565170285095 | Accuacy: 92.81333333333333%
Epoch:59 | Cross Entropy Error: 0.24946482080491242 | Accuacy: 92.86166666666666%
Epoch:60 | Cross Entropy Error: 0.24771176807153478 | Accuacy: 92.89833333333334%
Epoch:61 | Cross Entropy Error: 0.2459948452739007 | Accuacy: 92.945%
Epoch:62 | Cross Entropy Error: 0.24431169539883107 | Accuacy: 92.98333333333333%
Epoch:63 | Cross Entropy Error: 0.24266165118172112 | Accuacy: 93.04166666666667%
Epoch:64 | Cross Entropy Error: 0.2410428820764253 | Accuacy: 93.09833333333334%
Epoch:65 | Cross Entropy Error: 0.2394547720443491 | Accuacy: 93.13666666666667%
Epoch:66 | Cross Entropy Error: 0.23789513932798104 | Accuacy: 93.18333333333332%
Epoch:67 | Cross Entropy Error: 0.23636414196587555 | Accuacy: 93.21666666666667%
Epoch:68 | Cross Entropy Error: 0.23485968024922566 | Accuacy: 93.26%
Epoch:69 | Cross Entropy Error: 0.23338133406593445 | Accuacy: 93.29833333333333%
Epoch:70 | Cross Entropy Error: 0.23192823306083665 | Accuacy: 93.33333333333333%
Epoch:71 | Cross Entropy Error: 0.2304984964658375 | Accuacy: 93.36666666666666%
Epoch:72 | Cross Entropy Error: 0.22909204488279394 | Accuacy: 93.42333333333333%
Epoch:73 | Cross Entropy Error: 0.2277077034773136 | Accuacy: 93.455%
Epoch:74 | Cross Entropy Error: 0.2263453493786279 | Accuacy: 93.50666666666667%
Epoch:75 | Cross Entropy Error: 0.22500402010580026 | Accuacy: 93.55666666666667%
Epoch:76 | Cross Entropy Error: 0.22368268753513218 | Accuacy: 93.60333333333334%
Epoch:77 | Cross Entropy Error: 0.22238089884257467 | Accuacy: 93.63333333333334%
Epoch:78 | Cross Entropy Error: 0.22109839197257494 | Accuacy: 93.66499999999999%
Epoch:79 | Cross Entropy Error: 0.2198344764588669 | Accuacy: 93.70666666666668%
Epoch:80 | Cross Entropy Error: 0.21858858758689192 | Accuacy: 93.75%
